repo__npm_pkg,repo__nameWithOwner,repo__hasTestScript,repo__npms_score,data__success_count,data__success_total_rate,data__success_run_rate,data__failure_count,data__failure_total_rate,data__failure_run_rate,data__pending_count,data__pending_total_rate,data__pending_run_rate
which-module,nexdrew/which-module,1,0.8218557913441984,2,1,1,0,0,0,0,0,0
domain-browser,bevry/domain-browser,1,0.8218087082679036,6,0.16216216216216217,0.6666666666666666,3,0.08108108108108109,0.3333333333333333,28,0.7567567567567568,3.111111111111111
crypto-browserify,crypto-browserify/crypto-browserify,1,0.8217237907737933,47,0.6266666666666667,0.6811594202898551,22,0.29333333333333333,0.3188405797101449,6,0.08,0.08695652173913043
hash.js,indutny/hash.js,1,0.8217069045699144,14,0.8235294117647058,0.875,2,0.11764705882352941,0.125,1,0.058823529411764705,0.0625
is-plain-obj,sindresorhus/is-plain-obj,1,0.8214631405920274,4,0.8,1,0,0,0,1,0.2,0.25
gzip-size,sindresorhus/gzip-size,1,0.8213373020966301,15,0.8823529411764706,0.9375,1,0.058823529411764705,0.0625,1,0.058823529411764705,0.0625
string_decoder,rvagg/string_decoder,1,0.8212972532107176,0,0,NaN,0,0,NaN,8,1,Infinity
sass-graph,xzyfer/sass-graph,1,0.8212116116461547,20,0.7692307692307693,0.9090909090909091,2,0.07692307692307693,0.09090909090909091,4,0.15384615384615385,0.18181818181818182
ultron,unshiftio/ultron,1,0.821119402031409,5,1,1,0,0,0,0,0,0
defined,substack/defined,1,0.8211014729788662,1,0.5,1,0,0,0,1,0.5,1
eslint-plugin-node,mysticatea/eslint-plugin-node,1,0.8210741243156523,54,0.9310344827586207,0.9473684210526315,3,0.05172413793103448,0.05263157894736842,1,0.017241379310344827,0.017543859649122806
object.pick,jonschlinkert/object.pick,1,0.8210627160006105,5,0.7142857142857143,1,0,0,0,2,0.2857142857142857,0.4
querystringify,unshiftio/querystringify,1,0.8209427086029737,7,0.7,1,0,0,0,3,0.3,0.42857142857142855
randomatic,jonschlinkert/randomatic,1,0.8208605386814272,9,0.47368421052631576,0.9,1,0.05263157894736842,0.1,9,0.47368421052631576,0.9
ieee754,feross/ieee754,1,0.8206567951409895,15,0.8823529411764706,0.9375,1,0.058823529411764705,0.0625,1,0.058823529411764705,0.0625
stream-http,jhiesey/stream-http,1,0.8205740550891246,28,0.6666666666666666,0.7,12,0.2857142857142857,0.3,2,0.047619047619047616,0.05
domhandler,fb55/domhandler,1,0.8205310543211086,15,0.6818181818181818,0.7894736842105263,4,0.18181818181818182,0.21052631578947367,3,0.13636363636363635,0.15789473684210525
leven,sindresorhus/leven,1,0.8203445371458722,7,1,1,0,0,0,0,0,0
has-value,jonschlinkert/has-value,1,0.8199606362472633,8,1,1,0,0,0,0,0,0
js-tokens,lydell/js-tokens,1,0.8199253693542048,16,1,1,0,0,0,0,0,0
errorhandler,expressjs/errorhandler,1,0.8198377488785678,22,0.9565217391304348,1,0,0,0,1,0.043478260869565216,0.045454545454545456
user-home,sindresorhus/user-home,1,0.8196840764532742,4,1,1,0,0,0,0,0,0
es-abstract,ljharb/es-abstract,1,0.8195092636790897,40,0.8163265306122449,0.9090909090909091,4,0.08163265306122448,0.09090909090909091,5,0.10204081632653061,0.11363636363636363
sort-keys,sindresorhus/sort-keys,1,0.8192506682983882,8,0.8,1,0,0,0,2,0.2,0.25
repeating,sindresorhus/repeating,1,0.819206768271237,9,1,1,0,0,0,0,0,0
detective,browserify/detective,1,0.8191926281664608,28,0.7,0.9333333333333333,2,0.05,0.06666666666666667,10,0.25,0.3333333333333333
os-homedir,sindresorhus/os-homedir,1,0.81914609004041,3,1,1,0,0,0,0,0,0
portfinder,indexzero/node-portfinder,1,0.8191219653665285,25,0.78125,0.8333333333333334,5,0.15625,0.16666666666666666,2,0.0625,0.06666666666666667
arrify,sindresorhus/arrify,1,0.8190590662851003,4,1,1,0,0,0,0,0,0
deepmerge,KyleAMathews/deepmerge,1,0.8186830369708717,30,0.6976744186046512,0.9090909090909091,3,0.06976744186046512,0.09090909090909091,10,0.23255813953488372,0.30303030303030304
setimmediate,YuzuJS/setImmediate,1,0.8184165240118237,0,0,NaN,0,0,NaN,6,1,Infinity
color-string,Qix-/color-string,1,0.8183694257253497,13,0.52,1,0,0,0,12,0.48,0.9230769230769231
change-case,blakeembrey/change-case,1,0.8181678935075098,11,0.4074074074074074,0.9166666666666666,1,0.037037037037037035,0.08333333333333333,15,0.5555555555555556,1.25
strip-indent,sindresorhus/strip-indent,1,0.8180827520008174,7,0.875,0.875,1,0.125,0.125,0,0,0
window-size,jonschlinkert/window-size,1,0.8180632586052055,6,0.6,0.8571428571428571,1,0.1,0.14285714285714285,3,0.3,0.42857142857142855
